Gene,Sum,Mean,Variance
AL627309.5,0.03990267320576606,5.164726016796021e-06,1.914146933306327e-09
AL732372.2,0.019909477196202698,2.5769450163348043e-06,9.179209068336996e-10
AL669831.3,0.11448263658516103,1.4817840614180822e-05,5.964464072812763e-09
MTATP6P1,0.1825125583999441,2.36231631374507e-05,1.8822248735736124e-08
AL669831.1,0.028536503295826264,3.6935676023590815e-06,1.7399705569861934e-09
LINC01409,0.10691424236727937,1.383824001647416e-05,5.828709758561526e-09
LINC01128,0.061454030490988173,7.954184635126609e-06,3.250616565098828e-09
LINC00115,0.045656589976635326,5.909473204327637e-06,3.042452760114134e-09
NOC2L,0.1776039852961715,2.2987831387027116e-05,9.384587029013866e-09
PLEKHN1,0.030807644666167616,3.987528432069326e-06,2.192801767548707e-09
HES4,0.2441489829198928,3.1600955594083974e-05,1.8425052089285456e-08
ISG15,0.24314398123206457,3.147087512711165e-05,3.3205944475738756e-08
AGRN,0.0771474318819157,9.98542996141803e-06,4.651507572938898e-09
C1orf159,0.15034737863470368,1.9459924752097293e-05,8.090536553413104e-09
AL390719.3,0.05430302970352123,7.028608555982556e-06,3.101032963106289e-09
TNFRSF18,0.18507104347945508,2.395431574934702e-05,4.604810926388689e-08
TNFRSF4,0.11011197253922778,1.4252132091538672e-05,4.373036632360881e-08
SDF4,0.2776195410630299,3.5933153127495455e-05,2.0102453793723998e-08
B3GALT6,0.03679102587178266,4.761975908850978e-06,3.196995321528229e-09
UBE2J2,0.19354678904997363,2.5051357630076836e-05,1.2995947229457489e-08
ACAP3,0.07211204431923997,9.333684224597459e-06,5.191337039651509e-09
INTS11,0.136372783660296,1.765114983954129e-05,1.0070110827705084e-08
DVL1,0.06991139976097187,9.048848014622298e-06,5.445847720002104e-09
MXRA8,0.052282446963479716,6.7670783022883404e-06,3.115508360669309e-09
AURKAIP1,0.19104037261887713,2.4726944423877444e-05,1.2758721763414755e-08
CCNL2,0.576617716122614,7.463340876554674e-05,4.1313589230729525e-08
MRPL20-AS1,0.033468298871653174,4.331905108937765e-06,1.8379077949322952e-09
MRPL20,0.25945032241775356,3.3581455140791296e-05,1.9234197985545094e-08
VWA1,0.14291632231896317,1.8498100222490705e-05,1.3748494294358515e-08
ATAD3C,0.03983500199756554,5.1559671236817935e-06,2.8506900416797193e-09
ATAD3B,0.09677368758542812,1.252571674675487e-05,5.622526588818228e-09
ATAD3A,0.050970967668873976,6.5973294937709004e-06,2.716103095951442e-09
SSU72,0.2353918673248331,3.046749512358699e-05,1.6611116995062556e-08
AL691432.2,0.029084266241622938,3.764466249239314e-06,2.031341107644959e-09
MIB2,0.10052288404309415,1.3010986803403332e-05,6.7767777986878305e-09
CDK11B,0.22805311322701463,2.9517617554622656e-05,1.5414553577432686e-08
SLC35E2B,0.27311283703724815,3.534983653083719e-05,1.6667469247157534e-08
AL691432.1,0.10053709969152481,1.3012826778607923e-05,8.554112080554237e-09
CDK11A,0.2306725845041303,2.9856663798101257e-05,1.3974868963856847e-08
AL031282.2,0.033090542647636285,4.283010956204541e-06,1.7621276702348837e-09
AL031282.1,0.059839668863129206,7.745232832400881e-06,3.2228157075422536e-09
SLC35E2A,0.057188589423673865,7.402095447019656e-06,3.44099503056577e-09
NADK,0.14671184101607568,1.8989365909406637e-05,9.577057998907222e-09
GNB1,1.8890833077147744,0.00024450987674278727,1.5246728156801195e-07
PRKCZ,0.0958036965024739,1.240016781031244e-05,7.654974205959667e-09
FAAP20,0.1814041485496927,2.347969823319864e-05,1.0600338868623346e-08
AL590822.1,0.041659562966078374,5.392125675133106e-06,2.0094117810066553e-09
SKI,0.5930553749043027,7.676098562054138e-05,5.2670219091963824e-08
MORN1,0.13537046592099808,1.7521416764302106e-05,6.679749226834284e-09
RER1,0.44312791270318,5.735541194708517e-05,2.923784952038424e-08
PEX10,0.09422285993486744,1.2195555259496174e-05,5.501024505869058e-09
PANK4,0.024848105273528823,3.2161668746477898e-06,1.634636773548975e-09
TNFRSF14-AS1,0.05008107468533785,6.482147901286287e-06,3.3883768119696633e-09
TNFRSF14,0.47933210946174437,6.204143275456178e-05,3.489266067623193e-08
PRXL2B,0.027580264272961577,3.569798637452961e-06,1.6084065186722041e-09
MMEL1,0.020420291576534563,2.6430612964709503e-06,9.844959633165377e-10
TTC34,0.01778395567960406,2.3018322132544733e-06,6.625492395601692e-10
ARHGEF16,0.08873232773007239,1.1484898748391456e-05,3.901194934241224e-09
MEGF6,0.08162724663739351,1.0565266196918654e-05,5.128599984665484e-09
TPRG1L,0.0452355070423494,5.854971141903883e-06,3.4229201055743127e-09
WRAP73,0.0728790735728995,9.432963185723466e-06,4.5628370243728646e-09
TP73-AS1,0.04608767167538995,5.965269437663726e-06,2.816143714726695e-09
LRRC47,0.10272520068752324,1.3296039436645513e-05,7.096317134810587e-09
CEP104,0.23516775952748742,3.0438488160430677e-05,1.5246267608539143e-08
DFFB,0.08592754469223171,1.1121867032388262e-05,5.121377229994223e-09
C1orf174,0.07966797473974734,1.031167159458288e-05,5.192057053952626e-09
LINC01134,0.024028296925333426,3.110056552592988e-06,9.105177985061049e-10
AJAP1,0.03310828255709235,4.285307087379284e-06,2.482672626295532e-09
NPHP4,0.1371300674817072,1.774916741932529e-05,6.9924137855467156e-09
KCNAB2,0.5313967434167336,6.878031884762279e-05,4.330635183175192e-08
RPL22,0.47687873978789536,6.172388555370119e-05,3.999987770349808e-08
RNF207,0.06451729700794935,8.35067266476176e-06,3.375525761225764e-09
ICMT,0.05486102327984427,7.100831384913832e-06,3.843729947630685e-09
GPR153,0.03257693162786627,4.216532698403607e-06,1.899629355420235e-09
ACOT7,0.08897121041382558,1.1515818070647887e-05,5.454138814337837e-09
ESPN,0.026439157137099108,3.4221016227153905e-06,1.7196259193538222e-09
TNFRSF25,0.15387845078845852,1.9916962307592353e-05,1.2788284156637063e-08
PLEKHG5,0.04344117699935063,5.622725472346703e-06,1.7927702131883186e-09
NOL9,0.21452813222112854,2.7767037564215448e-05,1.3620155903801792e-08
ZBTB48,0.15954650076412652,2.0650595491085493e-05,8.761549008531813e-09
KLHL21,0.10913035313904432,1.4125078066146042e-05,5.74331664862036e-09
