Gene,Sum,Mean,Variance
WASH7P,0.006734286736704892,9.391000887888569e-07,2.8788854620540725e-10
MIR1302-2HG,0.001988735863601561,2.7733033936711215e-07,8.139661517864616e-11
OR4G11P,0.00036273094758667847,5.05830355022561e-08,9.39034664227098e-12
OR4F5,0.00044649962639927484,6.226462507311042e-08,1.0563811676240082e-11
AL627309.1,0.009099233802642418,1.268893292796321e-06,5.240150967531398e-10
CICP27,0.0013114929559723083,1.828884334084937e-07,4.487470284553455e-11
AL627309.6,0.010546111576295567,1.4706612154923396e-06,5.058805559830721e-10
AL627309.7,0.0003450800489310863,4.812160771595123e-08,9.375853970529852e-12
AL627309.5,0.03341952886179049,4.660372174283989e-06,1.750416072225357e-09
AL627309.4,0.0001426533523537803,1.9893090552751404e-08,2.837420320975563e-12
WASH9P,0.007016508895731469,9.78456128257073e-07,3.98373689321528e-10
AP006222.1,0.03082386942393159,4.298405999711559e-06,1.8001464365586692e-09
AL732372.1,8.64528399757932e-05,1.2055897361008674e-08,1.0421212206546915e-12
AL732372.2,0.025426525242953073,3.545743305390193e-06,1.4702129236901263e-09
AL669831.3,0.14964004141616816,2.0867388288407217e-05,9.561250670582662e-09
AC114498.1,0.0011106649887395153,1.5488285995530823e-07,6.327460550415005e-11
MTND1P23,0.01306820679036258,1.8223688175097726e-06,9.862854149547473e-10
MTND2P28,0.0004075071416824933,5.6827101057382974e-08,1.3805351064244493e-11
MTCO1P12,0.003955591495669206,5.516094680894165e-07,2.612938098770068e-10
MTCO2P12,0.003076258741894315,4.28986018950539e-07,2.3069563029215682e-10
MTATP6P1,0.22409788721966833,3.125057693761935e-05,3.170337463392433e-08
MTCO3P12,0.0006346833776039842,8.850695546004521e-08,4.358064147174099e-11
AL669831.1,0.04904431978535119,6.8392580930625e-06,3.14504481804649e-09
AL669831.2,0.0011085175575323203,1.545833994606499e-07,5.2700912112594616e-11
LINC01409,0.11091703094613622,1.5467442608581262e-05,7.166968738903028e-09
AL669831.4,0.00833414033123744,1.1622005761033944e-06,4.107432595132363e-10
FAM87B,0.0013068196689551472,1.8223674089459591e-07,6.065997567585907e-11
LINC01128,0.0691179580049686,9.638538279872904e-06,4.376098821273395e-09
LINC00115,0.0386068510152044,5.383747178246325e-06,2.2365045662193803e-09
FAM41C,0.0007832637464648942,1.0922657181214534e-07,2.9666432362432476e-11
AL645608.6,0.002931136754078877,4.0874867578843633e-07,1.7547228933670983e-10
AL645608.2,0.0023087205099643305,3.219523790216609e-07,1.0800468440183539e-10
AL645608.4,0.0015967391927966604,2.2266618223353235e-07,2.3783307619028446e-10
LINC02593,0.013430340462018764,1.872868562546195e-06,8.123545456226523e-10
SAMD11,0.07813563702033385,1.0896058711523338e-05,6.499832803971599e-09
NOC2L,0.2968547703461001,4.139656538085345e-05,1.9062493663563206e-08
KLHL17,0.028611281301028822,3.9898593363587816e-06,2.192453963016106e-09
PLEKHN1,0.03256460185292,4.5411521200557794e-06,1.8944896697120097e-09
PERM1,0.019717918841454435,2.7496749186242412e-06,1.8329273054781417e-09
AL645608.7,0.08567529600693032,1.1947468415413515e-05,6.761651652621871e-09
HES4,0.5316896372757934,7.414442020301122e-05,5.033947658297655e-08
ISG15,0.20160013030885127,2.811325203024003e-05,7.586954750805729e-08
AL645608.3,0.0010841817752839313,1.5118976088187578e-07,6.057641197175174e-11
AL645608.1,0.0020582599984704524,2.870255192400575e-07,1.6591632844445134e-10
AGRN,0.15776086112254753,2.1999841182896044e-05,8.570425136751368e-09
AL390719.1,0.0019276200093920203,2.688076989808981e-07,9.133666128249478e-11
C1orf159,0.09924307280720446,1.3839502552950002e-05,6.963917108750067e-09
AL390719.3,0.053747657051525455,7.495141131156806e-06,4.203698206013267e-09
LINC01342,0.007991520026383528,1.1144219810882063e-06,4.078621650086883e-10
AL390719.2,0.015122550304710438,2.108848180827003e-06,7.298019448518506e-10
TTLL10-AS1,0.0005851375073142189,8.159775586587907e-08,4.77392492760323e-11
TTLL10,0.0030598777673313876,4.2670168279617734e-07,2.1200818524054568e-10
TNFRSF18,0.0343949289663862,4.796392269751248e-06,2.8585063364436033e-09
TNFRSF4,0.13094418756672602,1.826024091015563e-05,1.2562984422253638e-08
SDF4,0.297789420060913,4.152690281145071e-05,2.0364177164693718e-08
B3GALT6,0.03291460559358194,4.589960339364376e-06,2.069022695837298e-09
C1QTNF12,0.00960021819405845,1.3387558491226398e-06,4.532251537190748e-10
AL162741.1,0.00047724951341942786,6.655271418483166e-08,1.5889267505548637e-11
UBE2J2,0.16852765001821113,2.350127597520724e-05,1.0642526764151353e-08
LINC01786,0.030433094989779818,4.243912284169547e-06,1.928498636641999e-09
SCNN1D,0.01763880465253838,2.4597412707486233e-06,1.2583469084673687e-09
ACAP3,0.10104877986469261,1.4091309421934544e-05,5.686628120307539e-09
PUSL1,0.01504736220352628,2.0983631576525285e-06,1.2518792781726361e-09
