Gene,Sum,Mean,Variance
AL627309.6,0.027099431752075045,6.1436027549478675e-06,4.7539912514528696e-09
AL627309.5,0.05615338463732653,1.273030710435877e-05,7.036111563723981e-09
AL732372.2,0.04133608153564472,9.371136145011272e-06,6.600180158133332e-09
AL669831.3,0.05485947966439784,1.2436971132259768e-05,8.572615909919042e-09
MTND2P28,0.11061237505796216,2.507648493719387e-05,2.982456606255263e-08
MTATP6P1,0.0395896167095772,8.975202155877851e-06,7.179290894197186e-09
AL669831.1,0.029258950018102463,6.6331784216963185e-06,3.9635275256768524e-09
LINC01409,0.04915456018203684,1.1143631870785953e-05,7.3353503005088286e-09
LINC01128,0.05324261576642557,1.2070418446253812e-05,9.594405400300275e-09
LINC00115,0.026598700907810777,6.030084087012192e-06,4.136583459733036e-09
NOC2L,0.06990525039580806,1.5847937065474507e-05,1.0380106849751533e-08
PLEKHN1,0.03273448446696268,7.4211028036641756e-06,4.359853647363924e-09
HES4,0.09417088029074411,2.1349100043242826e-05,1.5497641828331345e-08
ISG15,0.03133348832781613,7.103488625666771e-06,4.849596441170859e-09
AGRN,0.12347435178241448,2.7992371748450347e-05,1.6139991073203437e-08
C1orf159,0.12192988738958942,2.764223246193367e-05,2.2164627516475306e-08
AL390719.3,0.02128650150528564,4.825776809178336e-06,2.547710093212415e-09
SDF4,0.07156519863536388,1.6224257228602106e-05,1.178982565501386e-08
UBE2J2,0.1016578526095389,2.304644130798887e-05,1.7380161975695067e-08
ACAP3,0.05074973614375588,1.150526777233187e-05,8.911971273224418e-09
INTS11,0.07011902580429924,1.589640122518686e-05,9.556333801220879e-09
DVL1,0.060698632745984624,1.3760741951028026e-05,8.665943354480843e-09
MXRA8,0.04507740485521719,1.0219316448700338e-05,6.692987051878993e-09
AURKAIP1,0.035094526009109346,7.956138292702186e-06,6.960989984084644e-09
CCNL2,0.30900051666641554,7.005225950270132e-05,5.330173131704381e-08
MRPL20,0.08352718312434251,1.8936110433992862e-05,1.3145017253911169e-08
ATAD3B,0.06399496518397775,1.4508040168664192e-05,8.629962791863032e-09
ATAD3A,0.03126306359549217,7.0875229189508434e-06,4.249680352728275e-09
SSU72,0.09494173315879922,2.152385698453848e-05,1.637489233987204e-08
MIB2,0.04754907320483526,1.0779658400552087e-05,8.911942524038911e-09
MMP23B,0.027326794279133447,6.195147195450793e-06,3.4136598701083677e-09
CDK11B,0.10297574925451491,2.3345216335188147e-05,1.492470267240399e-08
SLC35E2B,0.15664893658051546,3.551324792122318e-05,2.3645880471263192e-08
AL691432.1,0.06803858036840649,1.5424751840491157e-05,1.1149199109102052e-08
CDK11A,0.09662889167321526,2.190634587921452e-05,1.504612505929625e-08
AL031282.2,0.02103408074548458,4.768551517906275e-06,2.9787487917205374e-09
AL031282.1,0.031013265286458574,7.03089215290378e-06,3.206956363649191e-09
NADK,0.09789605474097354,2.2193619301966343e-05,1.7491363401046765e-08
GNB1,1.2166606222537892,0.0002758242172418475,2.2251050533089647e-07
PRKCZ,0.0933036592339424,2.1152495858975835e-05,1.4121377035991092e-08
FAAP20,0.07293442771459008,1.65346696247087e-05,1.0599850436603845e-08
SKI,0.5450801910636045,0.00012357292928215927,1.3810170671513255e-07
MORN1,0.05329500899382099,1.2082296303291995e-05,5.794167992413002e-09
RER1,0.14094191728734934,3.19523729964519e-05,2.319531031935724e-08
PEX10,0.029889907023093628,6.776220136724921e-06,5.1245161482258126e-09
TNFRSF14-AS1,0.03578214259746096,8.112025073103822e-06,6.492216760241902e-09
TNFRSF14,0.36011646896175525,8.164055066011227e-05,7.243801266671422e-08
ARHGEF16,0.028457240551179767,6.4514261054590265e-06,2.8816229839687947e-09
MEGF6,0.11915790929911775,2.7013808501273577e-05,2.0770417169521578e-08
WRAP73,0.03153162925441222,7.14840835511499e-06,4.5716661218181855e-09
TP73-AS1,0.0345866753713618,7.841005525133031e-06,4.7542577880680224e-09
LRRC47,0.038477120948281845,8.72299273368439e-06,7.431312447146489e-09
CEP104,0.12148770414428585,2.7541986883764646e-05,2.0451142813699105e-08
DFFB,0.04245620538920292,9.625074901202203e-06,6.047942784819453e-09
C1orf174,0.056875121797036146,1.2893929221726625e-05,9.879213030043609e-09
LINC01134,0.01754421464041992,3.97737806402628e-06,2.115694348628707e-09
AJAP1,0.042733845498431816,9.688017569356566e-06,4.492850615823531e-09
NPHP4,0.11840921894188987,2.684407593332348e-05,2.037621753662941e-08
KCNAB2,0.3325880989047642,7.539970503395244e-05,9.445167513956979e-08
RPL22,0.19788040659818262,4.48606680113767e-05,5.5901161090411735e-08
RNF207,0.09228513345500834,2.0921589992067183e-05,9.103316574551615e-09
ACOT7,0.0333734189051463,7.56595305036189e-06,6.142735028357361e-09
TNFRSF25,0.06570759938667578,1.4896304553769164e-05,1.4414442277472887e-08
PLEKHG5,0.027441038748077302,6.221047097727795e-06,5.096341686381057e-09
NOL9,0.10003589742115122,2.26787343960896e-05,1.5243221040111342e-08
ZBTB48,0.040946799249646615,9.282883529731719e-06,6.245304121069685e-09
