Gene,Sum,Mean,Variance
WASH7P,0.021587800121157685,1.7366100974304307e-06,3.606312298244251e-10
AL627309.6,0.021610161090727907,1.738408904410579e-06,4.802410301210795e-10
AL627309.5,0.04603591839276932,3.7033157744967675e-06,9.228367767143156e-10
AP006222.1,0.0607573792942573,4.887569728441582e-06,9.498729419636075e-10
AL732372.2,0.02689589693232072,2.16361490888269e-06,4.212265083207402e-10
AL669831.3,0.16502789229053305,1.3275512210645406e-05,4.268809980301301e-09
MTATP6P1,0.5240570402592293,4.215727135863802e-05,1.9598759739745655e-08
AL669831.1,0.047199846205571064,3.7969468430191508e-06,1.0692267351014633e-09
LINC01409,0.13520006473778162,1.0876040924928133e-05,2.4442572093437192e-09
LINC01128,0.09788554081908724,7.874309453711467e-06,1.8405761526517244e-09
SAMD11,0.025306198492780225,2.0357331262794806e-06,7.223055356932939e-10
NOC2L,0.32949408499921257,2.6505839031390278e-05,7.865437296675644e-09
KLHL17,0.08492520396377365,6.831727452640467e-06,1.6122912879233513e-09
AL645608.7,0.03225094191230922,2.594396421229927e-06,6.283135401108096e-10
HES4,0.3233912343453676,2.6014901001155787e-05,8.335142951637867e-09
ISG15,0.1370721546891983,1.1026639424760544e-05,2.4453406455074964e-08
AGRN,0.3703331427017592,2.9791098278638825e-05,7.59506584128919e-09
C1orf159,0.4034478731994,3.2454981353020674e-05,8.270445854915494e-09
AL390719.3,0.024590695971467937,1.978175204848197e-06,3.199095402644749e-10
SDF4,0.22681808233183123,1.824616541966304e-05,4.5586971247824535e-09
B3GALT6,0.08002201643723078,6.437295184396331e-06,1.5579795927316091e-09
UBE2J2,0.19411988051918128,1.5615789600127204e-05,3.944682498641599e-09
LINC01786,0.028559797686312706,2.2974658262660047e-06,3.9232428551314155e-10
SCNN1D,0.05347135932464236,4.301452765235489e-06,1.2850688946720445e-09
ACAP3,1.0800977769854012,8.688744083222598e-05,2.5429408932531166e-08
PUSL1,0.024807304080824176,1.9956000386794444e-06,5.702271911142009e-10
INTS11,0.2820910022119899,2.2692543014398673e-05,6.380448272295478e-09
