Gene,Sum,Mean,Variance
WASH7P,0.011260383476657643,1.0442718609531339e-06,8.504946604816499e-10
AL627309.1,0.006740748625386739,6.251273880540424e-07,4.5854186182899023e-10
CICP27,0.0007304601899196494,6.774183343407673e-08,4.9478123559763954e-11
AL627309.6,0.0007710100231303007,7.150236697860527e-08,5.512392902956217e-11
AL627309.5,0.02563532843949693,2.3773837002222878e-06,1.8543397049129316e-09
WASH9P,0.008684172258036534,8.053577165943182e-07,4.603096656203356e-10
AP006222.1,0.005294825237123663,4.910345207385387e-07,2.4879023053307336e-10
AL732372.2,0.008713996558008417,8.081235795241043e-07,3.8742059820135963e-10
AL669831.3,0.2104405698901488,1.951595751554751e-05,1.3323260333720343e-08
AC114498.1,0.0009293680297397769,8.618826205506602e-08,8.009318687629618e-11
MTND1P23,0.1827166381300704,1.694487973013729e-05,1.4457602877391554e-08
MTND2P28,0.002238512721491085,2.075964686535366e-07,2.565048778104334e-10
MTCO1P12,0.02120673190696119,1.966681990815282e-06,1.6747433903185908e-09
MTCO2P12,0.004950631508419198,4.591144865454139e-07,3.31910378940123e-10
MTATP6P1,0.3198541850313539,2.966281971912769e-05,2.896987980859524e-08
AL669831.1,0.02278964771195241,2.1134793389550597e-06,1.6371068001834167e-09
AL669831.2,0.003584100636977494,3.3238436770634276e-07,1.11371682108691e-10
LINC01409,0.1728934919251985,1.603389519847895e-05,1.051460192171888e-08
AL669831.4,0.010234060101457946,9.490920988090462e-07,4.785290566647754e-10
FAM87B,0.004747649506775618,4.4029022598308613e-07,4.5205822275297766e-10
LINC01128,0.15742959944479823,1.4599795923657445e-05,8.383658087466817e-09
LINC00115,0.05523858517838191,5.122747396678282e-06,3.5576592599837003e-09
AL669831.7,0.00123779928300052,1.147917354169081e-07,4.4557573519243204e-11
FAM41C,0.0006867036629970525,6.368391570036656e-08,1.5533984419795288e-11
AL645608.6,0.002105946901513561,1.953025040817547e-07,2.6540157438934753e-10
LINC02593,0.0003957261574990107,3.669907794667631e-08,1.452143827727277e-11
SAMD11,0.0006207354078513645,5.756611405465682e-08,1.416389427842344e-11
NOC2L,0.2511766330715648,2.329376176125056e-05,1.4634598271279145e-08
KLHL17,0.014763280321166302,1.3691255050696746e-06,1.061570280547322e-09
