Gene,Sum,Mean,Variance
WASH7P,0.0328868647027775,2.6665746130525823e-06,5.050720421989012e-10
AL627309.1,0.015849059900992977,1.285093643151948e-06,2.7921136183929856e-10
AL627309.3,0.00046561255990666336,3.7753390084056055e-08,5.481651438586878e-12
CICP27,0.010534479204405357,8.541700481963315e-07,2.585633844221875e-10
AL627309.6,0.019917605632385704,1.6149846454541235e-06,2.7868114870416017e-10
AL627309.5,0.026787356773281937,2.1720065493620317e-06,3.660200624816534e-10
WASH9P,0.010190432403769432,8.262736077004323e-07,1.1914668163027475e-10
AP006222.1,0.03091212596672234,2.506456333959486e-06,4.045039382029342e-10
AL732372.1,5.4887754541961686e-05,4.450478759584991e-09,2.442569789891256e-13
AL732372.2,0.03278081354392236,2.657975638037976e-06,4.4323806752919357e-10
AL732372.3,0.00011750671317803042,9.527828847646997e-09,5.70307018271661e-13
AL669831.3,0.18294538076236222,1.483381016479058e-05,3.021845436837885e-09
MTND1P23,0.0035057861654157465,2.8426061505033217e-07,7.954026787799313e-11
MTND2P28,0.010691109683189787,8.668701599926852e-07,2.9671442505817454e-10
MTCO1P12,0.004219086299705747,3.420973242281478e-07,1.4830513730865594e-10
AC114498.2,0.001446274853998124,1.1726869812682429e-07,7.35854918512763e-11
MTCO2P12,0.0009755318951381158,7.909931850629335e-08,2.7341939197484897e-11
MTATP8P1,0.0004227854878821241,3.428083093181903e-08,8.000910462033372e-12
MTATP6P1,0.344266468181106,2.791425185932912e-05,1.4301353287721435e-08
MTCO3P12,0.0010294781411336414,8.347345667182692e-08,1.5043236649922962e-11
AL669831.1,0.05087869307123136,4.125410935800808e-06,7.50189168488732e-10
AL669831.2,0.0002882675122513693,2.3373673254793585e-08,6.737324312734289e-12
LINC01409,0.2312767494575348,1.8752675704008333e-05,5.1415310367227975e-09
AL669831.4,0.005664210511876892,4.592727245501412e-07,5.980093809729654e-11
FAM87B,0.001814206489192584,1.4710179917234932e-07,7.117284295546478e-11
LINC01128,0.1466599002964124,1.1891664663618942e-05,2.7845709062819135e-09
LINC00115,0.010914184590461404,8.849578034915596e-07,1.484669577781804e-10
AL669831.7,0.0021348997293524443,1.7310465655983495e-07,3.3728012089138746e-11
FAM41C,0.0012064298843720252,9.78212830918694e-08,9.960660978507713e-12
AL645608.6,0.0026147818644926477,2.120150705013093e-07,2.79716077703424e-11
AL645608.2,0.0027924610377150954,2.264218793249895e-07,3.750016859337528e-11
AL645608.4,0.0001716055862712184,1.3914342517734403e-08,1.1973079210658142e-12
LINC02593,2.0684234476482024e-05,1.6771454209423517e-09,3.4687656321166764e-14
SAMD11,0.002694428218059943,2.184730574929006e-07,3.1026830310819417e-11
NOC2L,0.2673569211910916,2.1678174101280435e-05,4.302700857986107e-09
KLHL17,0.0579958851845269,4.7024961635066e-06,1.180754324580829e-09
PLEKHN1,0.0037303883468257997,3.024720949343874e-07,9.263572967405614e-11
PERM1,0.00015409446947878426,1.2494483862708527e-08,1.1338587576634205e-12
AL645608.7,0.007121481862990354,5.774330546493436e-07,2.075951468279718e-10
HES4,0.0944086520244051,7.654962460423667e-06,2.2521700230095235e-09
ISG15,0.6803368537979091,5.5163938522493235e-05,3.2086648865629465e-08
AL645608.3,0.0006276583791092988,5.0892595403332424e-08,5.335060781091862e-12
AL645608.1,0.0010540636616738425,8.546693113385571e-08,1.0722328970599524e-11
AGRN,0.19171109665391123,1.554456309526565e-05,3.6112846404372902e-09
AL390719.1,0.001956171894360547,1.5861281880812025e-07,1.3655229924315304e-11
RNF223,0.00018008283810552856,1.4601705838443895e-08,2.6293034187556508e-12
C1orf159,0.42557079974545875,3.450667313268943e-05,6.9340806253807735e-09
AL390719.3,0.040212657988578315,3.260573906476795e-06,5.660088050515433e-10
LINC01342,0.03359851971799112,2.7242779305919986e-06,5.107374271147826e-10
MIR429,0.00020868113522537563,1.6920549357445523e-08,3.5307131435581745e-12
AL390719.2,0.004847380373657287,3.930414638496138e-07,9.90400795295563e-11
TTLL10-AS1,0.0006176622939177387,5.008208010360324e-08,1.4440786375110803e-11
TTLL10,0.002810636504753704,2.2789560567207526e-07,7.01953740279104e-11
TNFRSF18,0.03582184559657334,2.9045524687078032e-06,3.562820711284217e-09
TNFRSF4,0.011464107037593246,9.295473151376994e-07,4.3303294986394416e-10
SDF4,0.5400603702002639,4.3789862174674763e-05,1.0729167011354324e-08
B3GALT6,0.11736625085380052,9.516439702732549e-06,2.6013281858936605e-09
C1QTNF12,0.014697824424100524,1.1917477032433734e-06,2.2206782072564993e-10
AL162741.1,0.0013358297575733773,1.083134482748218e-07,1.0491701538017606e-11
UBE2J2,0.4568134856622351,3.7039932349163635e-05,7.883787371750041e-09
LINC01786,0.09909744837215634,8.035145412483283e-06,1.471879048725298e-09
SCNN1D,0.15520712007533874,1.2584701214249472e-05,2.718225421140677e-09
ACAP3,1.174725410409057,9.525058058939893e-05,2.536587743163787e-08
PUSL1,0.03413858440578328,2.768068142851154e-06,7.369598250431659e-10
INTS11,0.5448387587844015,4.417730955845305e-05,9.643720218791178e-09
AL139287.1,0.0008828946585915024,7.158798820980315e-08,7.511434949545897e-12
CPTP,0.06499545909120687,5.270044522111965e-06,1.0148715389710356e-09
TAS1R3,0.010878029942376768,8.820262663080165e-07,1.7769644842689704e-10
DVL1,0.1974576520625273,1.6010512613518796e-05,4.1104820388881485e-09
MXRA8,0.10504201982379788,8.517150719516572e-06,1.7966380375955072e-09
AURKAIP1,0.5109985621825259,4.143343567522305e-05,1.1142319211933702e-08
NDUFB4P8,0.001345724385454656,1.0911573708381221e-07,1.909670446527187e-11
CCNL2,2.1140693840616587,0.00017141566399591816,4.5374341735213646e-08
MRPL20-AS1,0.0543350047140696,4.405659994654148e-06,1.0297430206778917e-09
MRPL20,0.5428822515634486,4.401866955026746e-05,9.5933163982746e-09
MRPL20-DT,0.03639690705758149,2.9511803338669818e-06,9.808515735207257e-10
ANKRD65,0.04880238498128719,3.957057081106559e-06,9.74030390338559e-10
AL391244.1,0.0009429733787977224,7.645936745298973e-08,1.2492233811651449e-11
TMEM88B,0.002419675235824701,1.9619518655839626e-07,3.24212379045929e-11
LINC01770,0.0030153671344558238,2.444958351135834e-07,3.232901099575185e-11
VWA1,0.272719939859313,2.211302520549039e-05,6.519407618752632e-09
ATAD3C,0.038434533495712964,3.116397753645744e-06,9.074997420107334e-10
ATAD3B,0.2979869705150811,2.416175873794544e-05,4.816995642388793e-09
AL645728.2,0.016673482780021398,1.3519405481246573e-06,2.01887600647514e-10
ATAD3A,0.25612069566262974,2.0767104164650104e-05,4.148524245115867e-09
TMEM240,0.06980538546073103,5.6600490927374555e-06,1.1654754683125442e-09
SSU72,0.49742611569336503,4.0332937297767374e-05,1.1024715185713292e-08
AL645728.1,0.01693995281577538,1.3735468106523456e-06,2.694634483565019e-10
FNDC10,0.01632904770300038,1.3240126249088121e-06,2.9357348712636404e-10
AL691432.4,0.00525650896770475,4.262149491368483e-07,4.442003287392814e-11
AL691432.2,0.05725156195538793,4.642144000274704e-06,9.374160828490737e-10
MIB2,0.3558538112329908,2.8853791553798005e-05,6.905818562129504e-09
MMP23B,0.009875260953837237,8.007184751347796e-07,1.4753428710594853e-10
CDK11B,0.38658036993937606,3.1345201487016625e-05,7.839339789578355e-09
FO704657.1,0.008469747701187594,6.867548610384816e-07,2.0866652500251193e-10
SLC35E2B,0.7060063479131952,5.724530510931608e-05,1.334945169464203e-08
AL691432.1,0.15686833534182582,1.2719397984417889e-05,3.0235064322881686e-09
MMP23A,0.0033189108456648094,2.6910815257154054e-07,4.7088533158225455e-11
CDK11A,0.17801214991304543,1.4433807663427019e-05,3.325321739782806e-09
AL031282.2,0.04083951116362103,3.3114012132993616e-06,5.645334657028466e-10
AL031282.1,0.07048599474450074,5.715235120773594e-06,1.2319520566478753e-09
SLC35E2A,0.08247824589640775,6.687606089062495e-06,1.4971909099553591e-09
NADK,0.3460952712871926,2.8062537199966965e-05,6.760654331285691e-09
GNB1,3.001701137158201,0.00024338775133043064,7.382375808691598e-08
AL109917.1,0.0018071484586656044,1.4652951095966953e-07,1.5973665339236786e-11
CALML6,0.0021166469983774187,1.7162466539993664e-07,3.2934918016327975e-11
TMEM52,0.0007324832826047632,5.939214162043e-08,6.88163312499098e-12
CFAP74,0.039635239507917655,3.213754926450795e-06,1.1774225291512793e-09
AL391845.2,0.0014712998885022,1.1929780981936267e-07,8.528592857293519e-12
GABRD,0.031734433261296255,2.573131700421329e-06,7.431730235854273e-10
PRKCZ,0.2598092562533718,2.1066184728239017e-05,5.936310105063539e-09
AL590822.2,0.006197972971413163,5.025519315181353e-07,8.249493914301906e-11
PRKCZ-AS1,0.005139757052876346,4.1674832180948236e-07,7.628897645759142e-11
FAAP20,0.22655957479604977,1.837019174540256e-05,4.954577583173567e-09
AL590822.1,0.010744411096145663,8.711920129851344e-07,1.4406782149630878e-10
SKI,1.1917418960410924,9.663033293124887e-05,2.4755428144534413e-08
AL590822.3,0.002768731670637544,2.2449782458749244e-07,5.533129749946522e-11
MORN1,0.11916328723764555,9.66214929357379e-06,1.7514441488064745e-09
AL589739.1,0.00012523779071132443,1.015468991415912e-08,6.457817476422075e-13
AL513477.1,0.009829733380522274,7.970269505004681e-07,1.5718326501897685e-10
AL513477.2,0.009588093601476937,7.774340064442501e-07,1.697942633341914e-10
RER1,0.45391689570250815,3.680506735607785e-05,9.027798744373563e-09
PEX10,0.12605491612940764,1.0220945117117298e-05,2.25381606047898e-09
PLCH2,0.12071588035312954,9.788038624270618e-06,2.4780040942341934e-09
AL139246.1,0.0007246655536016321,5.875825456917474e-08,1.7615247394555164e-11
PANK4,0.0585566280329175,4.747963028696789e-06,8.582559477429795e-10
HES5,0.011296385406104567,9.159478963840564e-07,2.6046565017748286e-10
AL139246.5,0.017358741683522985,1.4075035825446351e-06,3.851311190109599e-10
TNFRSF14-AS1,0.012225628287373,9.912939501640313e-07,3.0872686636044056e-10
TNFRSF14,0.1295738967329442,1.050627558038954e-05,3.1572728653252863e-09
AL139246.2,0.00036275310398117415,2.941320878790028e-08,3.875900088103571e-12
AL139246.3,0.0013283603519493614,1.0770780442304074e-07,1.581173328670439e-11
PRXL2B,0.05567150009149206,4.514027413564588e-06,8.454938079209544e-10
MMEL1,0.003610698382754048,2.927672409595433e-07,4.2948940721405997e-11
TTC34,0.02570290830270345,2.0840759184872656e-06,3.8404398612310367e-10
AC242022.2,0.0006647244669988556,5.389803510896421e-08,9.56985711628293e-12
AL589702.1,0.0004663225811006465,3.7810960926023396e-08,6.227908583093245e-12
PRDM16-DT,0.007092527494777879,5.750853397209016e-07,1.2814148476392018e-10
PRDM16,0.060963859362712605,4.943149222631363e-06,1.2185747637045993e-09
AL512383.1,0.0014317477309945088,1.1609079145337783e-07,1.4228447381068751e-11
AL590438.1,6.82640453273261e-05,5.535072190653215e-09,3.7781578188861795e-13
AL354743.2,0.00016371121531873586,1.3274241086413351e-08,1.1163519826222017e-12
