Gene,Sum,Mean,Variance
WASH7P,0.008947295945656325,1.177585673289856e-06,5.467582171156402e-10
MIR1302-2HG,0.004774565759474664,6.283977045899795e-07,2.1769590537835558e-10
OR4G11P,0.00019755037534571315,2.6000312627759035e-08,5.135695502462937e-12
OR4F5,0.0012214711391230646,1.607621925668682e-07,4.7396673332868695e-11
AL627309.1,0.006195447570773768,8.154050501149998e-07,2.7616295684749113e-10
CICP27,0.0009708367277569424,1.277752997837513e-07,3.3712973099593214e-11
AL627309.6,0.011861730192508753,1.5611648055420838e-06,7.287384826254076e-10
AL627309.7,0.0001897893338394382,2.4978854151018455e-08,4.740096146239581e-12
AL627309.5,0.03052184753729811,4.017089699565427e-06,1.4436626567203017e-09
AL627309.4,0.0009724623970946112,1.279892599492776e-07,3.377925251187267e-11
WASH9P,0.0012556379860073227,1.6525901368877633e-07,3.1893759473574075e-11
AP006222.1,0.02943046108865447,3.873448419143784e-06,1.9937782945819173e-09
AL732372.2,0.03052892682556299,4.018021430055672e-06,2.0195611493328225e-09
AL732372.3,0.0005567928730512249,7.328150474483086e-08,4.079724938945368e-11
AL669831.3,0.18089288658992378,2.380796085679439e-05,9.664321295136485e-09
AC114498.1,0.00023917723032767282,3.14789721410467e-08,7.528062444570464e-12
MTND1P23,0.017650458604866956,2.3230400901377936e-06,3.291470102316029e-09
MTND2P28,0.0029125509241439266,3.833312614035176e-07,2.4469502932090176e-10
MTCO1P12,0.00443285070619711,5.834233622265214e-07,3.0969408133355646e-10
MTCO2P12,0.0013531799729364006,1.7809686403479873e-07,2.4096539116168773e-10
MTATP6P1,0.40577426657645976,5.340540491924977e-05,4.7378572969268106e-08
MTCO3P12,0.0026135402948120473,3.43977401265076e-07,1.9190326022810097e-10
WBP1LP6,0.0007326007326007326,9.64202069756163e-08,7.062821741153752e-11
AL669831.1,0.04152689153957294,5.465502966513943e-06,2.291461467088153e-09
AL669831.2,0.001637345506331078,2.154969079140666e-07,6.972510941393442e-11
