Gene,Sum,Mean,Variance
WASH7P,0.009483723037462527,8.032968861140545e-07,2.870534466448018e-10
MIR1302-2HG,0.00015144631228229593,1.2827910577866841e-08,1.942575196015196e-12
AL627309.1,0.014033256424197654,1.1886546183464048e-06,5.046582380849443e-10
AL627309.3,5.389673385792821e-05,4.565198531079808e-09,2.4602844920058505e-13
CICP27,0.0074313958648067925,6.294592465531758e-07,5.185870330133571e-10
AL627309.6,0.03585015735534656,3.0366048920334204e-06,1.6879257729102428e-09
AL627309.7,0.00028201162691230997,2.3887144410664913e-08,4.029276637164299e-12
AL627309.5,0.049416680029376506,4.185725904571955e-06,1.929056357453514e-09
AL627309.4,0.00016520733520568312,1.3993506285421237e-08,2.31163406538026e-12
WASH9P,0.0077060766945786716,6.527254527002093e-07,1.7272026523154798e-10
AP006222.1,0.022220930253441983,1.8821726455566647e-06,3.862986611976624e-10
AP006222.2,2.9588425008136817e-05,2.5062192959628e-09,7.41488005573813e-14
AL732372.2,0.03518377783795084,2.9801607519863494e-06,1.0731745418833311e-09
AL732372.3,0.00041288191577208916,3.497221038218611e-08,1.443817016588252e-11
AL669831.3,0.1251947331345482,1.0604331114225665e-05,3.6044599731333823e-09
MTND1P23,5.709717939933767e-05,4.8362848889833705e-09,2.7611483628106186e-13
MTND2P28,0.0077523468700526335,6.56644661193684e-07,2.042712469855865e-10
MTCO1P12,0.0011006303501437612,9.322635525527369e-08,4.689166503581901e-11
AC114498.2,0.0002243310564106637,1.9001444723925435e-08,2.3084575795355862e-12
MTATP6P1,0.08099835602981306,6.860778928495093e-06,3.0862290588241404e-09
AL669831.1,0.042272434267282694,3.5805890451704807e-06,1.1658760304365138e-09
AL669831.2,0.0002806987850332879,2.3775943167312207e-08,1.4746127211703675e-12
LINC01409,0.20764208088730218,1.7587843544579212e-05,8.020480504410076e-09
AL669831.4,0.0017628904026942612,1.4932156553398792e-07,5.706534417087463e-11
FAM87B,0.0030706317877098282,2.600907833059316e-07,5.575601008251618e-11
LINC01128,0.26636048072536855,2.256145017155417e-05,9.519308071540958e-09
LINC00115,0.008733066202380704,7.397142302541676e-07,2.0991442751654286e-10
AL669831.7,0.0037893552928492573,3.209686001058155e-07,2.0695153284960705e-10
FAM41C,0.002003610256432098,1.6971118553549874e-07,6.42568820723882e-11
TUBB8P11,0.00047286339585534315,4.0052803308092764e-08,6.283342907224112e-12
AL645608.6,0.00894369499759058,7.575550565467202e-07,3.3011865651321154e-10
AL645608.2,0.0051316707856205925,4.346663379316104e-07,1.3086897946140545e-10
AL645608.4,9.194556822361162e-05,7.788037288125667e-09,7.160148602785884e-13
LINC02593,0.002829602031363579,2.396749137187514e-07,5.245623445546648e-11
SAMD11,0.06839383420024706,5.793141978675848e-06,2.9159981734806025e-09
NOC2L,0.16532769851314183,1.4003701381767054e-05,5.121864735646966e-09
KLHL17,0.04741982522616583,4.016586924120433e-06,1.697548619719865e-09
PLEKHN1,0.030952439720291953,2.621755016118241e-06,1.542798281073044e-09
PERM1,0.0009001108168507891,7.624181067684136e-08,5.979618464748185e-11
AL645608.7,0.011601925167858827,9.827143120327653e-07,2.3463632820364843e-10
HES4,0.14702518729355904,1.2453429382818823e-05,8.301750248052667e-09
ISG15,0.14073617171885044,1.1920732823890432e-05,7.59033367314825e-09
AL645608.3,0.00043124822633494283,3.652788635735582e-08,3.342564767943468e-12
AL645608.1,0.001366295131553572,1.1572887782090227e-07,2.1711563133404732e-11
AGRN,0.15063385039405777,1.275909286752988e-05,5.0792989095163255e-09
AL390719.1,0.01563248422808221,1.3241135209285288e-06,4.5674537008943767e-10
RNF223,3.9707750952986025e-05,3.363353460357956e-09,1.3353988942425817e-13
C1orf159,0.5173401242867601,4.382010200633239e-05,1.6141799949134837e-08
AL390719.3,0.01946608476151097,1.6488298120880037e-06,3.2899611499083744e-10
LINC01342,0.01597053045543925,1.3527469469286166e-06,5.10011061192526e-10
TTLL10-AS1,5.588777734309507e-05,4.733845277239968e-09,2.6454168153994065e-13
TTLL10,0.0034547743994763026,2.926286972282147e-07,7.283755802212213e-11
TNFRSF18,0.08040691066827124,6.810681913287417e-06,9.256815936190195e-09
TNFRSF4,0.03854452394551433,3.2648249996200516e-06,3.888614646896763e-09
SDF4,0.1902206366152221,1.611220028927851e-05,6.758762672442901e-09
B3GALT6,0.02451860560939806,2.0767919370996154e-06,9.377506680861682e-10
C1QTNF12,0.003406310857736006,2.885237047040493e-07,8.956481175764728e-11
AL162741.1,0.0013722597175123798,1.1623409431749786e-07,5.3596008848612704e-11
UBE2J2,0.2937260976270521,2.4879391633665263e-05,1.0131466415873541e-08
LINC01786,0.03970309321105743,3.362958937070763e-06,9.214454240659695e-10
