Gene,Sum,Mean,Variance
DDX11L1,0.0005803830528148578,3.5290225757926414e-08,2.0480603559876835e-11
WASH7P,0.04820680252878702,2.9312174710438415e-06,2.4312429366263176e-09
MIR1302-2HG,0.0030889484474799717,1.8782369253800144e-07,1.627187795402362e-10
OR4F5,0.004379740393120286,2.6631037292474074e-07,1.4306618313678453e-10
AL627309.1,0.012694624624115861,7.71897399009842e-07,4.2014501720297725e-10
CICP27,0.0017597364875721506,1.0700088091767912e-07,9.433907731773274e-11
AL627309.6,0.03103085511606413,1.8868329755602657e-06,1.0815965551167401e-09
AL627309.5,0.05794754355091479,3.523503803412063e-06,2.3383541783202645e-09
AL627309.4,0.0007369655493706676,4.4811233696380125e-08,1.945549916641256e-11
WASH9P,0.005994025435186789,3.644670701195907e-07,2.459857646449778e-10
AP006222.1,0.01069412736785598,6.502570453518168e-07,3.5679173936607206e-10
AL732372.1,0.0005173305742369374,3.1456316079103575e-08,1.6272324560759986e-11
AL732372.2,0.03581852736139949,2.1779476688191347e-06,1.3442542602211283e-09
AL732372.3,0.000859106529209622,5.223802317947355e-08,4.4875297975423615e-11
AL669831.3,0.20117770184861428,1.2232622026548356e-05,8.102233885752822e-09
AC114498.1,0.0009174311926605505,5.578445778064882e-08,5.117528972789289e-11
MTND1P23,0.04879046812866001,2.966707292269245e-06,2.1029565889451965e-09
MTND2P28,0.0036851407285472173,2.2407519935225692e-07,1.4006727565572628e-10
MTCO1P12,0.012570772279469115,7.643665498886729e-07,5.495355224906915e-10
MTCO2P12,0.005210881226099086,3.1684794029545703e-07,2.21506024846396e-10
MTATP6P1,1.9123901925650935,0.00011628299845342901,1.5859888657458373e-07
MTCO3P12,0.0028982252645231984,1.7622675814928847e-07,9.376648008130892e-11
AL669831.1,0.06957334353781304,4.230411257315642e-06,2.911184532608921e-09
AL669831.2,0.0009852216748768472,5.990646205015489e-08,5.90175560928045e-11
LINC01409,0.16760147222794047,1.0191017404106803e-05,6.622137945434594e-09
AL669831.4,0.015571602397995576,9.468322022373572e-07,5.653068614343516e-10
FAM87B,0.0036300567016959604,2.2072581185066038e-07,1.406112263921109e-10
LINC01128,0.1096391208648227,6.666613210800359e-06,4.662613048146477e-09
LINC00115,0.10532738248144037,6.404437704088554e-06,4.636067423790534e-09
AL669831.7,0.0011559928658374254,7.029021438875261e-08,4.38218164833527e-11
FAM41C,0.000468384074941452,2.8480121302532653e-08,1.3338824153197695e-11
TUBB8P11,0.00035971223021582735,2.1872323374427056e-08,7.867263822487131e-12
AL645608.6,0.0027439860287141347,1.668482323187483e-07,1.0355916320091943e-10
AL645608.2,0.0016207455429497568,9.854952833210244e-08,1.5971399679452132e-10
LINC02593,0.012221362059711086,7.431206408677543e-07,5.10437511405879e-10
SAMD11,0.058766512584537925,3.5733012638050546e-06,3.1188397759399202e-09
NOC2L,0.5378038824891802,3.270119679491549e-05,2.2957667275858947e-08
KLHL17,0.03242523430860467,1.971618284604443e-06,1.3935961011625956e-09
PLEKHN1,0.07415507814822518,4.509003900536615e-06,3.3254335538484595e-09
PERM1,0.008930080086712897,5.429940463768027e-07,4.5157276210481087e-10
AL645608.7,0.03243477677815683,1.9721985150283855e-06,1.5319498352431337e-09
HES4,0.5684748305612694,3.456614560143922e-05,3.379682334886627e-08
