Gene,Sum,Mean,Variance
WASH7P,0.01688042258205843,1.793500061842162e-06,1.3345859517180541e-09
MIR1302-2HG,7.426661715558857e-05,7.89063080701111e-09,5.859481952058541e-13
OR4G11P,0.0007272727272727272,7.72707955028397e-08,5.619097140804573e-11
OR4F5,0.0028206699328914295,2.9968868815251057e-07,1.6217550763697607e-10
AL627309.1,0.009280082240870426,9.859840884902706e-07,6.747727106301228e-10
CICP27,0.00010306090899721736,1.0949947832258539e-08,1.1283916757071453e-12
AL627309.6,0.044707028629244666,4.750003041781201e-06,3.9430068628844504e-09
AL627309.7,0.0004972650422675286,5.283308991367707e-08,2.6269257353658955e-11
AL627309.2,0.0019385826597828313,2.0596925837046658e-07,3.1237580341334463e-10
AL627309.5,0.10244376678598688,1.0884378111558317e-05,8.037889318292479e-09
AL627309.4,0.0008216926869350862,8.730266542021741e-08,7.172833997034375e-11
WASH9P,0.00858204319029655,9.118192934866714e-07,5.413556373866844e-10
AP006222.1,0.03592234012944924,3.816653222423421e-06,3.3122422410033856e-09
AL732372.2,0.04935323959699631,5.24365061591546e-06,4.1369256692642436e-09
AL669831.3,0.11801803626329635,1.2539102875403352e-05,1.1917519623537132e-08
AC114498.1,0.0008804667692453195,9.354725555092642e-08,4.3708593158612786e-11
MTND1P23,0.0005577378245725794,5.925816240677639e-08,1.2054780896882022e-11
MTND2P28,0.24006035821179697,2.5505775415618038e-05,2.561465778644336e-08
MTCO1P12,0.006161805512552943,6.546754688220296e-07,8.403677302787357e-10
MTCO2P12,0.00034614053305642093,3.6776512224439116e-08,1.272848903347194e-11
MTATP6P1,0.15495652179313785,1.6463718847549707e-05,1.599563269732364e-08
MTCO3P12,0.0008726003490401396,9.271146929878237e-08,8.089146505360213e-11
AL669831.1,0.041716963304809285,4.432316543222406e-06,3.539619630013548e-09
AL669831.2,0.0015455629193157547,1.6421195487842699e-07,7.811678084778648e-11
LINC01409,0.11046286767138822,1.1736386280427987e-05,1.0530703761030218e-08
AL669831.4,0.004145999553615504,4.405014400356464e-07,2.9369013056366497e-10
FAM87B,0.0013411083604622305,1.4248920106908527e-07,1.1363337246719252e-10
LINC01128,0.10297862808093453,1.0941205703456707e-05,8.93176702478955e-09
LINC00115,0.07335380304063006,7.793646731898647e-06,6.994545764621788e-09
AL669831.7,0.0008598452278589854,9.135627155322836e-08,7.854390816168089e-11
FAM41C,0.001286842657440137,1.3672361426265799e-07,9.79734767221773e-11
AL645608.6,0.004258946810399662,4.525017860603126e-07,4.879389629970889e-10
AL645608.2,0.001860919309594502,1.9771773370107332e-07,9.616795319704606e-11
AL645608.4,0.0006203473945409429,6.591026291340236e-08,4.088291570908034e-11
LINC02593,0.007954385269879474,8.451323066170287e-07,5.28315025435297e-10
SAMD11,0.032184249878053815,3.4194910622666612e-06,2.583821352428057e-09
NOC2L,0.15512887899258296,1.6482031342178384e-05,1.4554224702048911e-08
KLHL17,0.032264275679177924,3.4279935910728776e-06,2.9295557788914293e-09
PLEKHN1,0.07374190130611265,7.834881141745925e-06,6.221042467235275e-09
PERM1,0.007236142193290168,7.688208875148925e-07,5.176616943804861e-10
AL645608.7,0.024858569295363057,2.6411569587083573e-06,2.1448282265123812e-09
HES4,0.2628285662379283,2.792483704185383e-05,2.2186804455065413e-08
ISG15,0.19703886326166703,2.0934855850155868e-05,2.1478474671750137e-08
AL645608.1,0.0018937990636402444,2.012111202337701e-07,1.596798438578226e-10
AGRN,0.3513439584140878,3.732936234743814e-05,3.16850561055169e-08
AL390719.1,0.016136886738527617,1.7145013534347233e-06,1.1227759911176863e-09
RNF223,0.001584786053882726,1.6837930874232107e-07,2.668168286656317e-10
C1orf159,0.21481099887639518,2.282309805316566e-05,1.8936059373861818e-08
AL390719.3,0.05068317714886105,5.384952948242781e-06,4.5682173068596075e-09
LINC01342,0.012710978786404809,1.350507733362177e-06,7.698218566340609e-10
AL390719.2,0.016899658449932613,1.7955438217097973e-06,1.1341906681310827e-09
TTLL10,0.003177993756518487,3.3765339529520685e-07,2.2090712746719496e-10
TNFRSF18,0.030813448867415376,3.273847095985484e-06,4.012441204873908e-09
TNFRSF4,0.05597138162628273,5.946810627526852e-06,9.080516141500856e-09
SDF4,0.25817750362997277,2.7430673993834763e-05,2.3374010975653876e-08
B3GALT6,0.05087593084695011,5.405432516675532e-06,4.991143530476192e-09
C1QTNF12,0.010321324235316932,1.0966132846703073e-06,9.190676023727655e-10
AL162741.1,0.00101365073710084,1.0769769837450489e-07,2.9415617107808236e-11
UBE2J2,0.23373957741568974,2.4834209245185906e-05,2.269461889715178e-08
LINC01786,0.02438389372223078,2.590723939888523e-06,1.7673245829786157e-09
SCNN1D,0.023017835132806343,2.445583843264592e-06,2.174549277360751e-09
ACAP3,0.09391947781780689,9.978695050765713e-06,9.401924478377187e-09
PUSL1,0.021193449469771426,2.251747712470402e-06,2.235683224412139e-09
INTS11,0.2197467098298055,2.3347504231811038e-05,2.0317572882466257e-08
AL139287.1,0.0008396424419254589,8.920977921009975e-08,3.777974553122711e-11
CPTP,0.025091682182639515,2.6659245837908536e-06,2.2819103621983263e-09
TAS1R3,0.001997059426870628,2.121822595485155e-07,1.8431089483342256e-10
DVL1,0.11664139823860516,1.2392838741883251e-05,1.0559834171717348e-08
MXRA8,0.12054372719649563,1.2807450828356952e-05,1.4075221137578769e-08
AURKAIP1,0.15596382644016527,1.657074229071029e-05,1.3750570214927967e-08
CCNL2,0.6798145593541841,7.222849121910158e-05,6.336399698626443e-08
MRPL20-AS1,0.026092060400353508,2.772212112234754e-06,2.2048443054082476e-09
MRPL20,0.28384028348334783,3.0157276188201e-05,2.901935539441705e-08
MRPL20-DT,0.012862716631502976,1.3666294763602822e-06,1.2741222198245832e-09
ANKRD65,0.003297131759344027,3.503114916430118e-07,2.0961003115308036e-10
LINC01770,0.0012881126370935339,1.3685854622753228e-07,6.106398976933072e-11
VWA1,0.1280250856741116,1.360232529474199e-05,1.3946301326758561e-08
ATAD3C,0.021978142596248716,2.335119272869604e-06,2.269976751270209e-09
ATAD3B,0.0999835076863316,1.0622982117119805e-05,8.625506276042797e-09
AL645728.2,0.0007144916895056837,7.591284418887418e-08,2.848707470007123e-11
ATAD3A,0.05240043146739732,5.567406658244509e-06,4.2755781341829245e-09
TMEM240,0.02536282667675868,2.6947329660814576e-06,1.6373693224782457e-09
SSU72,0.23769818529190148,2.52548008172441e-05,2.1575122802157624e-08
AL645728.1,0.0070144047775341865,7.452618760661057e-07,6.784227480047208e-10
FNDC10,0.018707574254918924,1.98763007383329e-06,1.7428179249105701e-09
AL691432.4,0.008851280360632144,9.40425027691473e-07,1.1969901992948158e-09
AL691432.2,0.02174439471605747,2.3102841814765694e-06,1.497538821444611e-09
MIB2,0.10714557775811613,1.1383933038473878e-05,9.722267444795844e-09
MMP23B,0.04225072216795495,4.489027004670097e-06,3.144139121503279e-09
CDK11B,0.24505185506086744,2.6036108697499728e-05,2.505748793578022e-08
FO704657.1,0.007202089680521032,7.652028984828975e-07,4.59200356972892e-10
SLC35E2B,0.35467982077155796,3.7683788862256474e-05,3.229475836655028e-08
AL691432.1,0.1270391155207686,1.3497568584867043e-05,1.1721167339375319e-08
MMP23A,0.007235444318405868,7.687467401621194e-07,6.250676867177612e-10
