Gene,Sum,Mean,Variance
AL627309.1,0.015179510912560803,1.9688081598652142e-06,6.466138904764068e-10
AL627309.6,0.06699934068510285,8.689927455914767e-06,3.773189745572604e-09
AL627309.5,0.0560501024016217,7.269792788796589e-06,1.9180991333269244e-09
AL732372.2,0.06253870235958062,8.111375143914477e-06,1.9027377562767285e-09
AL669831.3,0.11768328925342071,1.5263721044542246e-05,5.1576871964872825e-09
MTATP6P1,0.06774090589095325,8.786109713482911e-06,3.6780826396781283e-09
AL669831.1,0.0683017048336743,8.858846281929223e-06,3.761589407390393e-09
LINC01409,0.21873822300801482,2.837071634345199e-05,1.0706547937933491e-08
LINC01128,0.135855631719488,1.7620704503176134e-05,5.736397919140255e-09
NOC2L,0.17354465038214142,2.250903377200278e-05,7.970730091425114e-09
KLHL17,0.039672579259147356,5.145600422716907e-06,2.6424369242023846e-09
HES4,0.048360355114873896,6.272419599853942e-06,4.27170905884869e-09
ISG15,0.39060046367833823,5.066153873908407e-05,5.549166114482109e-08
AGRN,0.08047736037496106,1.0438049335273807e-05,4.776193223717198e-09
C1orf159,0.2204912692215356,2.859808939319528e-05,1.0779210211575427e-08
AL390719.3,0.014571068142675784,1.8898921067024362e-06,5.336464327145139e-10
TNFRSF18,0.1310802810730572,1.700133347251066e-05,3.111632821398533e-08
TNFRSF4,0.06880241342320348,8.923789030246885e-06,2.1660225481970498e-08
SDF4,0.2559171828478062,3.319289012293206e-05,1.5423281049193366e-08
B3GALT6,0.05577962575444362,7.234711511600988e-06,3.3543938390620183e-09
UBE2J2,0.30876875211939514,4.004782777164658e-05,1.605230695853842e-08
LINC01786,0.02080693752373379,2.6986948798617106e-06,8.769282274100232e-10
SCNN1D,0.029300434420784803,3.800315748480519e-06,1.5104491356150916e-09
ACAP3,0.2926197167347766,3.795327065301901e-05,1.7367031304797632e-08
INTS11,0.23294436627738757,3.021327707877919e-05,1.2717333635703753e-08
CPTP,0.031720214224224504,4.114165269030416e-06,1.8270601129008558e-09
DVL1,0.10151962359505542,1.31672663547413e-05,6.633071795758477e-09
MXRA8,0.04294030008209993,5.569429323229563e-06,3.098919871826531e-09
AURKAIP1,0.21390001879495607,2.7743193099216093e-05,1.6550638146396186e-08
