Gene,Sum,Mean,Variance
WASH7P,0.021425457595382766,1.1905016166796002e-06,5.022077850850774e-10
MIR1302-2HG,0.00023153507756425097,1.286520406535817e-08,2.9785805076769763e-12
OR4G11P,0.0001350438892640108,7.503688907262921e-09,1.013271028516783e-12
OR4F5,0.000349241958973242,1.9405565314954824e-08,1.7598236138157898e-12
AL627309.1,0.015517209121654083,8.622108752377664e-07,3.73556071401127e-10
CICP27,0.0022345105958740874,1.241601709103788e-07,3.3106110819751826e-11
AL627309.6,0.06979281129430019,3.878024742696016e-06,2.17289934437881e-09
AL627309.7,0.0002881014116969173,1.600830203350099e-08,4.61175814898827e-12
AL627309.5,0.05461309982544454,3.034566862557345e-06,1.1037201379819957e-09
WASH9P,0.011184737601491489,6.214778908424454e-07,2.8860086074072697e-10
AP006222.1,0.05646667647121344,3.137560508485494e-06,9.431361426881445e-10
AP006222.2,0.00012196609342602757,6.777023583154279e-09,8.265211634447404e-13
AL732372.2,0.028231650895150118,1.568686497480142e-06,6.006395192074352e-10
AL732372.3,0.00025523226135783564,1.4181933731057156e-08,3.6194858893603332e-12
AL669831.3,0.19094386184002846,1.060976061788234e-05,3.93688983640376e-09
AC114498.1,0.0016944334898705868,9.415088569598193e-08,2.0150802625051647e-11
MTND1P23,0.002513700022840398,1.3967328014893583e-07,5.3207386448326185e-11
MTND2P28,0.006026505546304504,3.348616739625773e-07,1.72123807366602e-10
MTCO1P12,0.00096921404744083,5.385420055791688e-08,2.144538218101394e-11
AC114498.2,0.00016246953696181965,9.027589985098607e-09,1.4666268673791919e-12
MTCO2P12,0.00020479213598197828,1.1379237427458926e-08,2.3302488515709548e-12
MTATP6P1,0.07467882935258888,4.149515438828076e-06,2.335747475673685e-09
MTCO3P12,0.0005189764815367791,2.8836832890858427e-08,1.0918951316044635e-11
AL669831.1,0.05488350569235069,3.0495919148941874e-06,1.1251605269627913e-09
RNU6-1199P,0.00016347882949158083,9.083671139166573e-09,1.4849054122360423e-12
AL669831.2,0.0001446340757882557,8.03656586032426e-09,1.1622966893286204e-12
LINC01409,0.18144222053309836,1.0081803663560502e-05,3.8093934379584945e-09
AL669831.4,0.007977182037193093,4.4325065495321964e-07,1.7525720416696047e-10
FAM87B,0.001496538731000536,8.315489976110108e-08,3.3465978515464203e-11
LINC01128,0.14554353757377225,8.087099937421363e-06,3.238920075015763e-09
LINC00115,0.019983879604924492,1.1104006003736451e-06,5.171581238202397e-10
AL669831.7,0.0019504976497256858,1.0837904371426825e-07,2.5024466455237872e-11
FAM41C,0.007396996115300921,4.1101273074962053e-07,1.0421464537252547e-10
TUBB8P11,3.7450378248820315e-05,2.080923389943897e-09,7.792703781806157e-14
AL645608.6,0.004056516421683643,2.253995900252066e-07,4.649625080990603e-11
AL645608.2,0.0012635215447071,7.020734259638273e-08,1.469672495112234e-11
LINC02593,0.0006900477041669336,3.8342373960489725e-08,6.482763190567583e-12
SAMD11,0.006630026473611943,3.6839620345679516e-07,1.1269533769956692e-10
NOC2L,0.16493599056473726,9.164638026600949e-06,4.007000846222126e-09
KLHL17,0.08808532227528444,4.894444756086261e-06,2.2552839418745727e-09
PLEKHN1,0.0019304148117926406,1.0726314451256546e-07,5.5336055814315605e-11
PERM1,0.00159853542473157,8.88223273174179e-08,4.862251183780892e-11
AL645608.7,0.0037624147181718488,2.0905788287891586e-07,5.6055267089446025e-11
HES4,0.05059101043191556,2.8110802040293135e-06,1.032559186647317e-09
ISG15,0.060915345413817386,3.3847499813200746e-06,1.5663168643835153e-09
