Gene,Sum,Mean,Variance
WASH7P,0.020323658012479276,2.268012276808311e-06,1.26157323656518e-09
MIR1302-2HG,0.00034626038781163435,3.86408199767475e-08,1.3378292197539659e-11
OR4F5,0.005453513182142782,6.08583102571452e-07,3.8067075137705686e-10
AL627309.1,0.00828558046997725,9.246267682152941e-07,5.232825114972941e-10
CICP27,0.0006683566382263622,7.458505057765453e-08,2.4940661895635482e-11
AL627309.6,0.018846963829406562,2.1032210500397906e-06,1.0530842163730366e-09
AL627309.5,0.039325700153376386,4.388539242648855e-06,3.1423381821951114e-09
AL627309.4,0.0010218985340348838,1.1403844816816024e-07,5.828040558927112e-11
WASH9P,0.0014541729030686365,1.62277971551014e-07,4.124970682198408e-11
AP006222.1,0.006360068216322624,7.097498288497516e-07,2.970092943451338e-10
AL732372.2,0.025040843845584696,2.794425158529706e-06,1.6013348802956405e-09
AL669831.3,0.11823771533224771,1.319470096331299e-05,6.843538782214458e-09
AC114498.1,0.00022701475595913735,2.5333640883733662e-08,5.750468509416799e-12
MTND1P23,0.01899422600107125,2.1196547261545866e-06,1.5807838578051317e-09
MTND2P28,0.00607973610016372,6.78466253784591e-07,5.955731306169973e-10
MTCO1P12,0.006786941725929383,7.573866450094167e-07,3.4333558714200266e-10
MTCO2P12,0.0034738316827549022,3.876611631240824e-07,2.0927115856168278e-10
MTATP6P1,0.45248241475152123,5.0494633941694144e-05,4.865037478477549e-08
MTCO3P12,0.00029310780223278104,3.270927376774702e-08,5.3383158179293375e-12
AL669831.1,0.04049712825936753,4.51926439676013e-06,2.645563571745994e-09
LINC01409,0.08384792044270559,9.35698252903756e-06,4.773394193366743e-09
AL669831.4,0.0055875733760785695,6.235435080993828e-07,3.0842409042633047e-10
FAM87B,0.0005389916293116505,6.014860275768892e-08,1.6649631442528792e-11
LINC01128,0.07893527184817267,8.808757041420899e-06,5.140271449039329e-09
LINC00115,0.08121162762080564,9.062786253856226e-06,5.7315102049658786e-09
AL669831.7,0.0009942301228290308,1.1095080044961844e-07,3.805463477400918e-11
FAM41C,0.00035817224733740747,3.997012022513196e-08,7.2713971856583885e-12
AL645608.6,0.0027600442782591056,3.080062803547713e-07,4.470803364359238e-10
AL645608.2,0.00038314378274118357,4.275681092971583e-08,8.26385107692532e-12
LINC02593,0.0018099926960217618,2.0198557036287934e-07,1.0298966702016211e-10
SAMD11,0.036637069038338084,4.0885022919694324e-06,2.69950672087288e-09
NOC2L,0.30985161186341414,3.457779398096353e-05,2.4843462019311843e-08
KLHL17,0.01882858632223252,2.101170217858779e-06,1.4156464818840635e-09
PLEKHN1,0.04013965567841311,4.479372355586777e-06,2.543556239208034e-09
PERM1,0.006895543442712639,7.695060197201918e-07,5.152391675652995e-10
AL645608.7,0.01681506757192887,1.8764722209495444e-06,1.273636795851408e-09
HES4,0.2478808517404272,2.766218633416217e-05,2.609724193379044e-08
ISG15,0.3205945789255071,3.577665203944951e-05,7.535269962571501e-08
AL645608.3,0.0009248665201485613,1.0321019084349528e-07,4.833856646732502e-11
AL645608.1,0.0005263157894736842,5.87340463646562e-08,3.090920629319564e-11
AGRN,0.10216683949761603,1.1401276587168399e-05,7.92239842113298e-09
AL390719.1,0.007060172957263579,7.878777990473807e-07,5.957414502732009e-10
C1orf159,0.12379774204831362,1.3815170410480261e-05,7.53730124736582e-09
AL390719.3,0.06772597201694691,7.55785872301606e-06,5.131525339941338e-09
LINC01342,0.008810213794312231,9.831730604075697e-07,4.410806584458292e-10
AL390719.2,0.05590409015647853,6.2385995041266075e-06,3.5398862776493246e-09
TTLL10-AS1,0.0008318113172316305,9.282572449856384e-08,5.102728427196328e-11
TTLL10,0.001384410744209771,1.5449288519247528e-07,6.624091038886896e-11
TNFRSF18,0.11117021026317767,1.2406004939535505e-05,1.91498083277061e-08
TNFRSF4,0.10817875116736474,1.2072173994795752e-05,1.501465593589195e-08
SDF4,0.359451199070451,4.011284444486675e-05,2.6352407475431577e-08
B3GALT6,0.04990656879683687,5.5693079786672105e-06,3.192771753793162e-09
C1QTNF12,0.04643402824419217,5.181790898805063e-06,3.3615752331932178e-09
AL162741.1,0.0002679528403001072,2.990211363688285e-08,8.011462143579367e-12
UBE2J2,0.23148446312743853,2.5832436461046595e-05,1.66066168611482e-08
LINC01786,0.038067495780198315,4.248130318066992e-06,2.7313044808059787e-09
SCNN1D,0.014025753743222735,1.5651996142420193e-06,1.0685676304494903e-09
ACAP3,0.07173881851661765,8.005671076511288e-06,4.979532316643825e-09
PUSL1,0.01784339261271499,1.9912278331341354e-06,1.3527039595484048e-09
INTS11,0.19765121862240528,2.2056826093338385e-05,1.4232195148327469e-08
CPTP,0.03288237208526609,3.6694980566082013e-06,2.2515439926699492e-09
TAS1R3,0.0002011667672500503,2.2449142645915668e-08,4.515517489608556e-12
DVL1,0.06498805866459448,7.2523221364350495e-06,4.7961658774925466e-09
MXRA8,0.04945386277633665,5.5187883915117345e-06,3.3950447724879176e-09
AURKAIP1,0.40914989852995504,4.565895530967024e-05,3.2456992820976965e-08
NDUFB4P8,0.000869806561435796,9.706579192453921e-08,4.2308068303589046e-11
CCNL2,0.4730443943927325,5.278924164632658e-05,3.259096675906328e-08
MRPL20-AS1,0.07255459659524856,8.096707576749087e-06,4.639262393782547e-09
MRPL20,0.48476059668116583,5.4096707586336995e-05,4.0348616522559966e-08
MRPL20-DT,0.0076615000174019374,8.549827047653094e-07,5.459703480443674e-10
ANKRD65,0.01253227070325461,1.39853484022482e-06,8.024423677979691e-10
LINC01770,0.0010885782984889109,1.2147955568451186e-07,2.9216540058067494e-11
VWA1,0.17241478909814406,1.9240574612001348e-05,1.5435777000188162e-08
ATAD3C,0.017384343670948325,1.9400004096583332e-06,1.5733580744637763e-09
ATAD3B,0.06495425313928027,7.248549619381796e-06,4.295562061535944e-09
AL645728.2,0.004707317197653079,5.253115944261889e-07,2.4146535445406683e-10
ATAD3A,0.054101087639943285,6.037394000663239e-06,4.022526408728445e-09
TMEM240,0.005986842475166704,6.680998186772351e-07,3.211741143928137e-10
SSU72,0.3904631805880208,4.357361684946109e-05,2.887906239059856e-08
AL645728.1,0.01236626999137748,1.3800100425597009e-06,9.397714655572153e-10
FNDC10,0.0062528690351658315,6.977869696647508e-07,3.1426749596487056e-10
AL691432.4,0.00233001426438519,2.600172150859491e-07,1.4985748295294936e-10
AL691432.2,0.051169349514651366,5.71022759900138e-06,3.855260322428493e-09
MIB2,0.13815434886998446,1.5417291470816255e-05,9.892406047102217e-09
MMP23B,0.013703278836185955,1.52921312757348e-06,1.306144585200481e-09
CDK11B,0.3892240595005943,4.3435337518200454e-05,2.548790045060468e-08
FO704657.1,0.003886522242261115,4.337152373910406e-07,2.4496746533267644e-10
SLC35E2B,0.19052190594619212,2.126123266892e-05,1.3310385118878531e-08
AL691432.1,0.12480939741485252,1.3928065775566623e-05,9.282323714728512e-09
MMP23A,0.0013135049933901076,1.4658018004576582e-07,7.043753598011392e-11
CDK11A,0.32398092164007825,3.6154549898457566e-05,1.8311229095012703e-08
AL031282.2,0.03938761763236539,4.395448904404128e-06,2.4160510306778414e-09
AL031282.1,0.08028918175996706,8.959846195733408e-06,5.7394160192947186e-09
SLC35E2A,0.0375172538784572,4.186726244666578e-06,2.425834327240909e-09
NADK,0.1669473376671489,1.863043607489665e-05,1.2276275904218213e-08
GNB1,1.9315047081371266,0.0002155456654544277,1.3533511026327056e-07
AL109917.1,0.005091067253855444,5.681360622537042e-07,5.796867713662737e-10
TMEM52,0.0013851655736736382,1.5457712015105883e-07,1.1107393681554994e-10
CFAP74,0.0025895296024794714,2.889777482958901e-07,2.0112587795301027e-10
AL391845.2,0.00028776978417266187,3.211357930729404e-08,9.24028650429574e-12
GABRD,0.006142717063448362,6.854945947381276e-07,4.3319059161659523e-10
AL391845.1,0.00027122321670735016,3.0267070271995334e-08,8.208216063935133e-12
PRKCZ,0.09408405714728868,1.0499281011861252e-05,7.172112520600578e-09
AL590822.2,0.015822442586407786,1.7657005452971528e-06,1.1426157199090363e-09
PRKCZ-AS1,0.0017441424216233642,1.946370295305618e-07,2.1538517238947905e-10
FAAP20,0.31995072550874426,3.570480141822835e-05,2.383563908674919e-08
AL590822.1,0.0751770220365284,8.389356325915457e-06,5.163525676944469e-09
SKI,0.46243236811523697,5.1604995883856374e-05,3.4754638136677805e-08
AL590822.3,0.007456627467771769,8.321200164905444e-07,5.35395976206909e-10
MORN1,0.19202702787556375,2.142919628116993e-05,1.321289137074977e-08
AL589739.1,0.003943775909290838,4.401044425053943e-07,9.086004119842021e-10
AL513477.1,0.002104813846500614,2.348860446937411e-07,1.3533430139978508e-10
AL513477.2,0.01071357636700172,1.1955782130344515e-06,7.579039643025266e-10
RER1,0.6736261902611406,7.517310459336464e-05,4.8597663961254226e-08
PEX10,0.20442690587389242,2.2812956798782772e-05,1.614150426690389e-08
PLCH2,0.02644351081982453,2.9509553420181377e-06,1.915161816094437e-09
PANK4,0.031529805160416924,3.5185587725049574e-06,1.742687152194682e-09
AL139246.5,0.03172799141242302,3.5406753054818685e-06,2.4523961000628094e-09
TNFRSF14-AS1,0.10641567793525229,1.1875424387373317e-05,7.140950809255993e-09
TNFRSF14,0.5852339929737405,6.530900490723585e-05,4.172559177792512e-08
AL139246.2,0.00022716946842344388,2.5350905972932026e-08,5.758309165490029e-12
AL139246.3,0.005592888199359063,6.241366141456381e-07,3.770346945929313e-10
PRXL2B,0.02355075611603919,2.628139283120097e-06,1.6094250187567352e-09
MMEL1,0.0007901255004383625,8.817380877562354e-08,5.0655576179442075e-11
TTC34,0.02578534155886143,2.8775071486286607e-06,1.690300890675818e-09
AC242022.2,0.0008177665002340874,9.125839752640189e-08,2.5139749152523326e-11
PRDM16,0.00284972091758291,3.1801371694932595e-07,1.5035104203463625e-10
ARHGEF16,0.09865945550663385,1.10098711646729e-05,7.022076794115527e-09
AL512413.1,0.00435171765947387,4.856285748771197e-07,2.1132924051946613e-10
MEGF6,0.05602701012877296,6.252316720095186e-06,3.832004565457504e-09
AL513320.1,0.01398707820411887,1.5608836295189008e-06,8.854061918744921e-10
TPRG1L,0.058513714961057735,6.52981977023298e-06,3.789860719675127e-09
WRAP73,0.07881512009712394,8.795348744238806e-06,4.976452667765463e-09
TP73,0.006180717679748724,6.897352616615025e-07,3.5933159707714054e-10
TP73-AS3,0.0005946957489787873,6.636488661742968e-08,2.03482009929668e-11
TP73-AS1,0.036597917400982664,4.08413317721043e-06,2.44786003063051e-09
AL136528.1,0.0005213764337851929,5.8182840507219384e-08,3.033177664821723e-11
CCDC27,0.0004914004914004914,5.4837684566509475e-08,2.6944257971599263e-11
SMIM1,0.04414258056984593,4.926077510305315e-06,4.489646169924036e-09
LRRC47,0.09621905168456171,1.0737535061328168e-05,5.756636615968446e-09
RN7SL574P,0.009273672247500607,1.0348925619351196e-06,6.395587410874646e-10
CEP104,0.1703312661279289,1.9008064516005902e-05,1.0741777933792967e-08
DFFB,0.04763656580629948,5.31598770296836e-06,2.512858113048887e-09
C1orf174,0.07949122284479833,8.870798219484246e-06,5.791294584945477e-09
LINC01134,0.005285217138606312,5.898021580857396e-07,2.978476463214066e-10
LINC02780,0.00032938076416337287,3.675714364059512e-08,1.210574497319346e-11
AJAP1,0.002485394323441229,2.773568043121559e-07,1.1924458386309412e-10
AL365255.1,0.0030545244865731788,3.4086870735109683e-07,1.7785637451187348e-10
NPHP4,0.12734998991260074,1.4211582402923863e-05,7.896265178567306e-09
KCNAB2,0.22305676987865264,2.489195066160614e-05,1.5743814043976957e-08
CHD5,0.0009413312361193148,1.0504756568678883e-07,3.986731062309798e-11
AL031847.1,0.00030807147258163895,3.4379139893052e-08,1.0590050327682918e-11
RPL22,1.3911963303454018,0.00015525012056080814,1.2907898805829672e-07
RNF207,0.21933414868696985,2.447652591083248e-05,1.4058933855710087e-08
ICMT,0.044504000156989444,4.966410016403241e-06,3.134265230595932e-09
LINC00337,0.0006093845216331506,6.800407562026007e-08,4.1436006536655823e-11
GPR153,0.012294280336139001,1.3719763794374514e-06,7.588827169020042e-10
ACOT7,0.11588712990403316,1.2932388115615797e-05,7.362614570749127e-09
AL031848.2,0.0032392610807658027,3.614843299593575e-07,1.4139335473999637e-10
HES2,0.0013318290914130042,1.4862505204921373e-07,8.658778161071954e-11
ESPN,0.0466414042475765,5.204932959220678e-06,3.1379445676940164e-09
AL031848.1,0.0003718854592785422,4.150044183445399e-08,1.543168858519589e-11
TNFRSF25,0.1440829197509682,1.607888848911597e-05,9.782721985087543e-09
PLEKHG5,0.05582570718311361,6.2298523806621594e-06,3.750714697819159e-09
NOL9,0.17514636498761846,1.954540397138918e-05,1.3105268253232935e-08
RNU6-731P,0.00028885037550548814,3.223416756003662e-08,9.309812362265103e-12
AL591866.1,0.0018287129320740795,2.0407464926616221e-07,8.212080054942894e-11
TAS1R1,0.0024497021283418755,2.733737449326945e-07,1.5241422730736518e-10
ZBTB48,0.1581163203715679,1.7644941454253754e-05,1.0327533523214932e-08
KLHL21,0.08853682950493012,9.880239873332232e-06,6.5772383815868295e-09
PHF13,0.04303157969374225,4.8020957140656455e-06,3.158381989392271e-09
THAP3,0.04866522788137595,5.43078092638946e-06,3.2137158976578433e-09
DNAJC11,0.31822319053999415,3.55120176922212e-05,2.0697601868095136e-08
AL591163.1,0.00038925652004671076,4.3438959942719645e-08,1.6907011438510608e-11
CAMTA1-DT,0.017220568894894487,1.9217240146071293e-06,8.954714769635161e-10
CAMTA1,0.8790385366655354,9.809603132078289e-05,6.087750062653081e-08
AL590128.1,0.0002682403433476395,2.9934197449797956e-08,8.028663345592876e-12
AL512330.1,0.002417845526652582,2.698187174034797e-07,1.5405514644628404e-10
CAMTA1-AS2,0.0005464667409487982,6.098278550929563e-08,1.704190427837281e-11
AL359881.1,0.0008895741046353397,9.927174474225418e-08,4.7912515659656864e-11
VAMP3,0.1406019577440983,1.5690431619696273e-05,9.074863641789915e-09
Z98884.2,0.00023126734505087883,2.5808207237013595e-08,5.967929504666223e-12
PER3,1.103738222768374,0.00012317132270598974,9.468859736369708e-08
Z98884.1,0.0767933255060419,8.569727207459202e-06,5.2734134140110215e-09
UTS2,0.008331897128984135,9.297954613306701e-07,5.274414274078875e-10
