Gene,Sum,Mean,Variance
WASH7P,0.022680947322425694,1.8910244557633561e-06,1.2606783321589059e-09
MIR1302-2HG,0.0021146644048679226,1.7631018883341026e-07,6.754304437848898e-11
OR4G11P,0.00042735042735042735,3.563035078792958e-08,1.5225376113970074e-11
OR4F5,0.002984753925872042,2.4885392078306167e-07,1.682651622393442e-10
AL627309.1,0.01258828896722601,1.0495488550296823e-06,5.483333209978951e-10
CICP27,0.001454316155650275,1.2125363979075163e-07,3.972651248830465e-11
AL627309.6,0.014525670168459187,1.211078053064798e-06,5.946880240890711e-10
AL627309.7,0.00033101621979476995,2.759848422501e-08,9.134784243896885e-12
AL627309.5,0.04209659300647247,3.509804319365722e-06,2.044464739048216e-09
AL627309.4,0.001989192790244445,1.658489903488782e-07,8.419834395868821e-11
WASH9P,0.005430322651947259,4.5275326429441876e-07,2.5871145761199716e-10
AP006222.1,0.0543006419724236,4.527317156280107e-06,2.6147527891425443e-09
AL732372.2,0.04661138489883072,3.886225187496308e-06,2.334823265934748e-09
AL732372.3,0.0003341434580450398,2.7859217779309637e-08,4.7245832754001384e-12
AL669831.3,0.29811819180474336,2.4855610455623092e-05,1.3816121524090716e-08
AC114498.1,0.004209574978857506,3.5097340160559497e-07,2.0850130290715545e-10
MTND1P23,0.028804899722728636,2.401609114784779e-06,1.6020675507388324e-09
MTND2P28,0.0035855496453578413,2.989452764180291e-07,2.4466211603697773e-10
MTCO1P12,0.013934134659286081,1.1617587676576689e-06,9.565288344982993e-10
MTCO2P12,0.004294662856324646,3.5806760516296863e-07,2.2469291702258947e-10
MTATP6P1,1.2360555864651996,0.0001030561602855761,1.1310907181089727e-07
MTCO3P12,0.0017782303671415884,1.4825999392542842e-07,9.216089056070012e-11
AL669831.1,0.05836290999413376,4.8660088372631116e-06,3.4825528722328164e-09
AL669831.2,0.0022294278160036466,1.8587859062895168e-07,7.237907872999616e-11
LINC01409,0.24319387504904888,2.027629440128805e-05,1.2856703256453184e-08
AL669831.4,0.01235566529737122,1.0301538517067883e-06,5.132001536173432e-10
FAM87B,0.004654871110612996,3.880999758723525e-07,2.4807287621622293e-10
LINC01128,0.11028233727717464,9.194792169182478e-06,5.403992051661324e-09
LINC00115,0.08370785523930802,6.97914417536335e-06,3.977432390164275e-09
AL669831.7,0.0007524454477050414,6.273515488619655e-08,4.720084600553066e-11
FAM41C,0.0018112969553332639,1.5101692140514122e-07,1.0914452934958624e-10
AL645608.6,0.006656252336721877,5.549651773154808e-07,3.3509868482474715e-10
AL645608.2,0.0010290179573520435,8.579439364282503e-08,3.9580560333727415e-11
AL645608.4,0.000537299397720464,4.47973484842808e-08,1.530954666335905e-11
LINC02593,0.009803173142062934,8.173397650544384e-07,6.367428614198886e-10
SAMD11,0.05308094822262002,4.425625164467235e-06,3.6265878509412283e-09
NOC2L,0.4916564271656778,4.09918648629046e-05,2.439164345500512e-08
KLHL17,0.055524143955338584,4.629326659608019e-06,2.9377955586707286e-09
PLEKHN1,0.06351773778761341,5.295792711990446e-06,3.6196288879587772e-09
PERM1,0.019419856798994464,1.6191309653989047e-06,8.583669924053809e-10
AL645608.7,0.10919858637944077,9.104434415494479e-06,6.427775737821195e-09
HES4,0.6849446144908367,5.7107271509991384e-05,4.7245821623216234e-08
ISG15,0.21086093841534764,1.7580535135513394e-05,1.3104463630688153e-08
AL645608.3,0.0014204853787958657,1.1843299806535482e-07,7.578166747633354e-11
AL645608.1,0.0025395735756879503,2.117369998072328e-07,1.426767967585728e-10
AGRN,0.2502577939992173,2.0865248790996943e-05,1.2805710065684962e-08
AL390719.1,0.004834245234677133,4.0305529720503025e-07,2.7648129395351606e-10
AL645608.8,0.0005494505494505495,4.5810451013052314e-08,2.516847888227709e-11
C1orf159,0.24322189206382328,2.0278630320478847e-05,1.2874362513370278e-08
AL390719.3,0.09955655047525497,8.30052947100675e-06,5.0632723314925025e-09
LINC01342,0.01614945134117535,1.3464608421857054e-06,6.255526376133806e-10
AL390719.2,0.042116261571559774,3.5114441863898426e-06,2.039843601237737e-09
TTLL10-AS1,0.0009728685240327009,8.111293346945981e-08,4.028962843099285e-11
TTLL10,0.003655958164613016,3.0481558817850725e-07,2.665185450810358e-10
TNFRSF18,0.1400985088584855,1.1680716096255252e-05,2.0095221141251317e-08
TNFRSF4,0.1908333601479171,1.5910735380016435e-05,2.6404030104946805e-08
SDF4,0.49188931585563855,4.1011281962284356e-05,2.6684614092736707e-08
B3GALT6,0.05013482718035507,4.179992261160169e-06,2.701295304282731e-09
C1QTNF12,0.013869857052395275,1.1563996208433612e-06,7.209156722848738e-10
AL162741.1,0.00027917364600781687,2.3276108554928868e-08,6.497534312923767e-12
UBE2J2,0.32851496175166595,2.7389941783530595e-05,1.8109316350016267e-08
LINC01786,0.059765717664063786,4.982967955983307e-06,2.8227614716195084e-09
SCNN1D,0.03169193385622964,2.642315645842058e-06,1.3769594431469548e-09
ACAP3,0.14849478638323285,1.2380755909891017e-05,8.546911332091485e-09
PUSL1,0.0309640612589307,2.5816292528706603e-06,1.7338539803062983e-09
INTS11,0.25691027225740826,2.141989930443624e-05,1.3560502137351772e-08
AL139287.1,0.00035248501938667606,2.9388445838475576e-08,1.0358123220370542e-11
